Reykjavik 	61 	(64,45,"N") 	(21,56,"W")	0.9	6.2	3.7	9.8	7.1	12.4	8.8	13.9
Oslo 	204 	(59,56,"N") 	(10,44,"E")	0.9	9.8	5.9	15.9	10.1	19.9	13.0	22.3
Stockholm 	11 	(59,59,"N") 	(18,04,"E")	1.0	8.3	6.0	14.4	10.8	19.2	14.1	21.9
Helsinki 	56 	(60,12,"N") 	(24,55,"E")	-0.9	6.4	4.3	13.5	9.2	18.6	12.5	21.6
Copenhagan 	5 	(55,41,"N") 	(12,33,"E")	3.1	10.4	7.5	16.1	11.2	19.4	13.6	21.8
Berlin 	46 	(52,27,"N") 	(13,18,"E")	3.9	13.4	8.4	18.9	11.6	22.2	13.7	23.7
Warsaw 	107 	(52,13,"N") 	(21,03,"E")	2.9	11.8	9.0	19.6	12.3	22.6	14.6	24.1
Prague 	369 	(50,04,"N") 	(14,26,"E")	2.4	12.1	7.2	18.1	9.4	21.3	11.8	23.0
Paris 	96 	(48,49,"N") 	(02,20,"E")	6.3	15.8	9.5	19.7	12.7	22.9	14.5	24.6
Munich 	529 	(48,08,"N") 	(11,42,"E")	3.2	13.5	7.2	18.0	10.6	21.2	12.6	23.1
Budapest 	139 	(47,26,"N") 	(19,11,"E")	6.6	16.8	11.3	21.9	14.7	25.5	16.4	27.7
Lisbon 	105 	(38,43,"N") 	(09,09,"W")	11.5	19.6	12.9	21.4	15.4	24.8	17.0	27.4
Gibraltar 	5 	(36,51,"N") 	(05,53,"W")	11.4	20.9	13.9	23.4	16.7	26.6	19.4	28.8
Madrid 	582 	(40,25,"N") 	(03,41,"W")	7.4	18.4	10.2	21.2	14.6	26.9	17.4	30.8
Majorca 	8 	(39,33,"N") 	(02,39,"E")	10.4	18.9	12.8	21.9	16.9	26.0	19.6	28.9
Rome 	3 	(41,54,"N") 	(12,29,"E")	9.8	18.8	13.3	23.4	17.2	27.6	19.6	30.4
Malta 	91 	(35,31,"N") 	(14,29,"E")	11.9	19.0	15.1	22.9	19.0	27.8	21.3	30.3
